epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,51.342,0.33454,0.4818,0.89073,0.99885,1,0.995,0.8804,0.50981,0.52575,0.93264,0.0011684,0.0011684,0.0011684
44,52.605,0.34082,0.47766,0.89331,0.99928,1,0.995,0.85712,0.54805,0.51357,0.95902,0.0011486,0.0011486,0.0011486
45,53.6741,0.31403,0.48347,0.89569,0.9982,1,0.995,0.85751,0.56023,0.57057,0.97311,0.0011288,0.0011288,0.0011288
46,54.5855,0.31668,0.44827,0.90141,0.99407,1,0.995,0.87319,0.57632,0.58791,0.97216,0.001109,0.001109,0.001109
47,55.4905,0.29361,0.44344,0.89469,0.95227,0.99758,0.99024,0.86891,0.54754,0.61331,0.94879,0.0010892,0.0010892,0.0010892
48,56.4019,0.29877,0.41927,0.87606,0.88907,0.85,0.85472,0.75176,0.54249,0.83986,0.95098,0.0010694,0.0010694,0.0010694
49,57.2883,0.31825,0.45953,0.89092,0.84875,0.84209,0.85178,0.75842,0.53731,0.86732,0.93877,0.0010496,0.0010496,0.0010496
50,58.1997,0.30315,0.42285,0.8721,0.89942,0.89445,0.89671,0.77694,0.54096,0.85417,0.94732,0.0010298,0.0010298,0.0010298
51,59.0728,0.29538,0.45508,0.88004,0.99891,0.85,0.93025,0.82557,0.5249,0.687,0.93236,0.00101,0.00101,0.00101
52,59.9688,0.31395,0.43478,0.88317,0.99273,1,0.995,0.88584,0.49121,0.47545,0.91224,0.0009902,0.0009902,0.0009902
53,60.8804,0.28342,0.42165,0.8683,0.99486,1,0.995,0.89449,0.49596,0.44831,0.91433,0.0009704,0.0009704,0.0009704
54,61.8524,0.30934,0.42434,0.88121,0.99702,1,0.995,0.86951,0.48692,0.441,0.90934,0.0009506,0.0009506,0.0009506
55,62.7793,0.31901,0.43498,0.88745,0.9958,1,0.995,0.89272,0.45765,0.43274,0.89303,0.0009308,0.0009308,0.0009308
56,63.723,0.29195,0.39665,0.86303,0.99152,1,0.995,0.89768,0.46382,0.43775,0.89666,0.000911,0.000911,0.000911
57,64.6329,0.29289,0.39711,0.86834,0.97976,1,0.995,0.89278,0.50306,0.47334,0.91193,0.0008912,0.0008912,0.0008912
58,65.4913,0.29299,0.39394,0.86939,0.90553,0.95887,0.98295,0.88102,0.47065,0.52715,0.89984,0.0008714,0.0008714,0.0008714
59,66.4348,0.2955,0.39149,0.87657,0.86916,0.99659,0.97062,0.85701,0.44915,0.58148,0.89509,0.0008516,0.0008516,0.0008516
60,67.4604,0.29273,0.39418,0.85883,0.86267,0.94259,0.96469,0.87434,0.49474,0.59839,0.94068,0.0008318,0.0008318,0.0008318
61,68.3828,0.28457,0.38404,0.88858,0.94867,0.92472,0.98598,0.87564,0.48928,0.52743,0.93774,0.000812,0.000812,0.000812
62,69.2251,0.30561,0.3877,0.86378,1,0.98413,0.995,0.89714,0.46575,0.46166,0.92227,0.0007922,0.0007922,0.0007922
63,70.1845,0.27541,0.35693,0.88615,0.99195,1,0.995,0.91196,0.44105,0.40321,0.89835,0.0007724,0.0007724,0.0007724
64,71.1401,0.27778,0.36458,0.87072,0.99636,1,0.995,0.90205,0.45729,0.37229,0.89504,0.0007526,0.0007526,0.0007526
65,72.074,0.28778,0.40383,0.86209,0.99706,1,0.995,0.89583,0.50175,0.36869,0.9132,0.0007328,0.0007328,0.0007328
66,73.0016,0.27346,0.37245,0.86669,0.99726,1,0.995,0.86713,0.54759,0.37772,0.93012,0.000713,0.000713,0.000713
67,74.0322,0.2913,0.38829,0.88876,0.9973,1,0.995,0.86829,0.53366,0.37233,0.92708,0.0006932,0.0006932,0.0006932
68,74.9346,0.26178,0.35348,0.87771,0.99752,1,0.995,0.92972,0.42288,0.34227,0.88143,0.0006734,0.0006734,0.0006734
69,75.8832,0.26287,0.35451,0.85826,0.99737,1,0.995,0.92331,0.40477,0.32545,0.87353,0.0006536,0.0006536,0.0006536
70,76.8582,0.26477,0.35549,0.86754,0.99748,1,0.995,0.91623,0.38195,0.33361,0.86487,0.0006338,0.0006338,0.0006338
71,77.7276,0.26163,0.36649,0.85767,0.99794,1,0.995,0.91441,0.38933,0.33578,0.87104,0.000614,0.000614,0.000614
72,78.6677,0.25204,0.33338,0.8739,0.99828,1,0.995,0.90886,0.39147,0.35934,0.8723,0.0005942,0.0005942,0.0005942
73,79.522,0.23083,0.33935,0.87075,0.99799,1,0.995,0.91249,0.40212,0.36801,0.87359,0.0005744,0.0005744,0.0005744
74,80.4344,0.2478,0.32462,0.87928,0.99802,1,0.995,0.91693,0.41559,0.37792,0.87359,0.0005546,0.0005546,0.0005546
75,81.3627,0.2427,0.32546,0.85985,0.9968,1,0.995,0.91758,0.42177,0.37895,0.87401,0.0005348,0.0005348,0.0005348
76,82.3775,0.24606,0.31721,0.87554,0.98841,1,0.995,0.91486,0.44702,0.39512,0.89305,0.000515,0.000515,0.000515
77,83.2831,0.23125,0.31722,0.86221,0.98309,1,0.995,0.91272,0.45412,0.41509,0.8974,0.0004952,0.0004952,0.0004952
78,84.2652,0.226,0.33054,0.87079,0.98955,1,0.995,0.88687,0.45861,0.44352,0.89598,0.0004754,0.0004754,0.0004754
79,85.1782,0.2473,0.31614,0.8506,0.82428,1,0.97207,0.8765,0.46813,0.50697,0.89693,0.0004556,0.0004556,0.0004556
80,86.1367,0.23949,0.29625,0.87255,1,0.84488,0.96478,0.8533,0.45989,0.58194,0.89936,0.0004358,0.0004358,0.0004358
81,87.0568,0.2369,0.32168,0.86104,0.85634,0.89436,0.947,0.85093,0.45925,0.58718,0.8993,0.000416,0.000416,0.000416
82,87.9788,0.22768,0.29484,0.84556,0.83963,0.9,0.93666,0.85036,0.45694,0.59801,0.89943,0.0003962,0.0003962,0.0003962
83,88.8484,0.22693,0.29161,0.86884,0.8548,0.9,0.93776,0.85591,0.45328,0.59168,0.90103,0.0003764,0.0003764,0.0003764
84,89.7345,0.23308,0.31384,0.85361,0.93538,0.85,0.9368,0.85803,0.44383,0.57977,0.89857,0.0003566,0.0003566,0.0003566
85,90.7098,0.23093,0.29417,0.8441,0.90652,0.8,0.92713,0.84274,0.44307,0.61243,0.8985,0.0003368,0.0003368,0.0003368
86,91.6029,0.23305,0.29443,0.86061,0.92591,0.8,0.9164,0.81254,0.44982,0.64165,0.90273,0.000317,0.000317,0.000317
87,92.5649,0.24501,0.30941,0.86979,0.85637,0.8946,0.90796,0.80892,0.46165,0.64498,0.90604,0.0002972,0.0002972,0.0002972
